ticker,delta_f1_macro,control_f1_macro,pcr_f1_macro,delta_sell_f1,delta_hold_f1,delta_buy_f1,control_sell_f1,control_hold_f1,control_buy_f1,pcr_sell_f1,pcr_hold_f1,pcr_buy_f1,control_cv_score,pcr_cv_score,optuna_trials,classes_improved,classes_worsened,class_collapse,prediction_shift,buy_shift,hold_shift,sell_shift,performance_class
POWERGRID.NS,0.0274774119592351,0.3379665008530987,0.3654439128123339,0.0571095571095571,-0.0097288676236043,0.0350515463917525,0.3216783216783216,0.5272727272727272,0.1649484536082474,0.3787878787878788,0.5175438596491229,0.2,0.3128059000370284,0.3248205099273208,75,2,1,,22,3,8,-11,STRONG_IMPROVEMENT
RELIANCE.NS,0.0671096814478023,0.246225991925947,0.3133356733737494,0.0330748175182481,0.1354037267080745,0.0328505001170842,0.2481751824817518,0.2,0.2905027932960894,0.28125,0.3354037267080745,0.3233532934131736,0.3342102846333961,0.3312202828939149,30,3,0,,42,-12,21,-9,STRONG_IMPROVEMENT
SBILIFE.NS,-0.0044727691277223,0.3828967050737821,0.3784239359460598,0.0063025210084033,0.0063716814159291,-0.0260925098074993,0.2794117647058823,0.56,0.3092783505154639,0.2857142857142857,0.5663716814159292,0.2831858407079646,0.3246450723401616,0.3206954538844523,30,2,1,,34,16,1,-17,NEUTRAL
SBIN.NS,0.0268897287971219,0.2633904158904311,0.2902801446875531,0.0415114951089925,-0.0341517673230616,0.073309458605435,0.1897810218978102,0.5152838427947598,0.0851063829787234,0.2312925170068027,0.4811320754716981,0.1584158415841584,0.3415259034320774,0.3535457432921319,75,2,1,,34,7,-17,10,STRONG_IMPROVEMENT
SUNPHARMA.NS,0.02540823578678,0.3285758384630749,0.353984074249855,0.0,0.0382232999008045,0.0380014074595355,0.3333333333333333,0.4454976303317535,0.2068965517241379,0.3333333333333333,0.4837209302325581,0.2448979591836734,0.3909360892018587,0.390935567895894,75,2,0,,12,2,4,-6,STRONG_IMPROVEMENT
TATACONSUM.NS,-0.006867259041172,0.3723536245275376,0.3654863654863655,0.0114840114840115,-0.0442958008175399,0.0122100122100121,0.2522522522522522,0.591304347826087,0.2735042735042735,0.2637362637362637,0.5470085470085471,0.2857142857142857,0.3117317092780679,0.3195752549504919,30,2,1,,40,16,4,-20,MODERATE_REGRESSION
TATASTEEL.NS,0.0014786853205152,0.3921956370081264,0.3936743223286416,0.0271257172665623,-0.0920930232558139,0.0694033619507972,0.380281690140845,0.3866666666666666,0.4096385542168674,0.4074074074074074,0.2945736434108527,0.4790419161676646,0.4263509229289985,0.3989456780574429,75,2,1,,42,1,-21,20,NEUTRAL
TCS.NS,-0.0352504193309162,0.2981568764121305,0.2629064570812143,-0.042016806722689,-0.0376390076988879,-0.0260954435711717,0.1372549019607843,0.3233532934131736,0.4338624338624338,0.0952380952380952,0.2857142857142857,0.4077669902912621,0.3395399584464654,0.36047738071003,30,0,3,SELL,40,17,-20,3,STRONG_REGRESSION
TECHM.NS,-0.0041987537933225,0.3386128430153587,0.3344140892220362,-0.0284900284900284,0.0356363636363636,-0.0197425965263026,0.4021164021164021,0.2363636363636363,0.3773584905660377,0.3736263736263736,0.272,0.3576158940397351,0.3160565489995469,0.3242620209701917,75,1,2,,30,-8,15,-7,NEUTRAL
TITAN.NS,0.0002927160936261,0.3027621136173767,0.3030548297110029,-0.0147286023277371,-0.0132684652808491,0.0288752158894646,0.1654135338345864,0.3157894736842105,0.4270833333333333,0.1506849315068493,0.3025210084033613,0.4559585492227979,0.3081633453924899,0.30938429145171,75,1,2,,28,1,-14,13,NEUTRAL
TRENT.NS,-0.0023131784785858,0.3056795421451042,0.3033663636665184,0.0233019653031175,0.0355029585798816,-0.0657444593187565,0.2601626016260163,0.3195266272189349,0.3373493975903614,0.2834645669291338,0.3550295857988165,0.2716049382716049,0.2640160770008091,0.2672267185867975,30,2,1,,8,-4,0,4,NEUTRAL
ULTRACEMCO.NS,-0.012007745151747,0.386133437040878,0.374125691889131,-0.0114416475972539,0.0453488372093023,-0.0699304250672896,0.3157894736842105,0.35,0.4926108374384236,0.3043478260869565,0.3953488372093023,0.422680412371134,0.3753184706440741,0.3929979635792741,75,1,2,,24,-9,12,-3,MODERATE_REGRESSION
WIPRO.NS,0.0292405972023809,0.2891689625864891,0.3184095597888701,-0.0253942796043838,-0.0152364192099291,0.1283524904214559,0.2093023255813953,0.6026490066225165,0.0555555555555555,0.1839080459770115,0.5874125874125874,0.1839080459770115,0.355170940913966,0.3569081956018619,75,1,2,,32,15,-16,1,STRONG_IMPROVEMENT
