ticker,candidate_count,eligible_candidate_count,selected_version,selected_cv_score,selected_trained_at,selection_status,selection_reason,excluded_candidate_versions,excluded_candidate_reasons,policy_version
SBILIFE.NS,3,3,710b376617f0,0.3155921252423011,2026-08-12T09:50:21.680600+00:00,SELECTED,Highest CV score,7d4e4f2083ec;56d64f0a6cba,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
SBIN.NS,3,3,41efcda90bcf,0.3398877318337237,2026-08-12T09:59:52.094516+00:00,SELECTED,Highest CV score,82097585e678;89800c74b7e8,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
SHRIRAMFIN.NS,3,3,0e7da5a7998c,0.3479060137174069,2026-08-12T10:02:36.825958+00:00,SELECTED,Highest CV score,c1fc54975746;6420994a0e89,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
SUNPHARMA.NS,3,3,845257eace4d,0.3973918166197006,2026-08-12T10:08:15.785637+00:00,SELECTED,Highest CV score,24219657af50;bfa8f74a2afe,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
TATACONSUM.NS,3,3,241b68c2c661,0.31764870544148305,2026-08-12T05:43:40.983581+00:00,SELECTED,Highest CV score,a52809467ad6;4d67a31ef2d1,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
TATASTEEL.NS,3,3,b6ad42ab4e15,0.43834655457927163,2026-08-11T05:34:54.456580+00:00,SELECTED,Highest CV score,182b9748cbf7;6b0ec6e931d3,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
TCS.NS,3,3,68df90ea3a2f,0.3601345615524604,2026-08-12T05:53:14.759816+00:00,SELECTED,Highest CV score,40b61a24a045;39f892ad8a37,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
TECHM.NS,3,3,44f46805464f,0.3448844451099291,2026-08-12T10:21:07.743549+00:00,SELECTED,Highest CV score,e252ca12ff9b;5011305981a8,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
TITAN.NS,3,3,f22de148c0b9,0.33319756208931955,2026-08-11T05:47:32.239576+00:00,SELECTED,Highest CV score,67c0dc7422a2;c62d01aa5314,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
TRENT.NS,3,3,8dd0db56b45b,0.2513118048805093,2026-08-11T05:48:59.255419+00:00,SELECTED,Highest CV score,67fe9e438970;9106deb806b5,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
ULTRACEMCO.NS,3,3,8755f4b0285f,0.38428402325509886,2026-08-12T06:07:02.872890+00:00,SELECTED,Highest CV score,2b6d15d443e9;2c6e05607985,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
WIPRO.NS,3,3,6873fcb78722,0.36967382648437297,2026-08-12T10:37:26.850598+00:00,SELECTED,Highest CV score,9ff5cf2a14aa;1999ed4012b1,Lower rank or ineligible,CANONICAL_CV_CHAMPION_V1
