ticker,cutoff_date,historical_observation_count,historical_mean_delta_f1,historical_collapse_rate,current_delta_cv_score,gate_enabled,gate_reason,information_cutoff_date,control_f1_macro,pcr_f1_macro,delta_f1_macro,gated_f1_macro,gated_delta_vs_control,class_collapse_bool,delta_sell_f1,delta_hold_f1,delta_buy_f1
BEL.NS,2026-05-08,3,0.038480878318622395,0.0,0.0070600678762031,True,"WARM: hist_mean=0.038481, hist_collapse=0.00",2026-05-08,0.3204403911300463,0.3101213818860878,-0.0103190092439585,0.3101213818860878,-0.01031900924395851,False,-0.0226512226512226,0.0033333333333333,-0.0116391384139862
BEL.NS,2026-08-10,4,0.026280906427977174,0.0,0.0016284168080364,True,"WARM: hist_mean=0.026281, hist_collapse=0.00",2026-08-10,0.229584017515052,0.2168028767571101,-0.0127811407579418,0.2168028767571101,-0.0127811407579419,False,-0.0411027568922305,0.022463768115942,-0.0197044334975369
BHARTIARTL.NS,2025-08-08,0,0.0,0.0,0.0016696965876147,False,COLD: cv_delta=0.001670,2025-08-08,0.3323718523537187,0.3627006789770924,0.0303288266233736,0.3323718523537187,0.0,False,-0.0469187675070028,0.0925373134328357,0.0453679339442881
BHARTIARTL.NS,2025-11-10,1,0.0303288266233736,0.0,0.0207896515523424,True,"WARM: hist_mean=0.030329, hist_collapse=0.00",2025-11-10,0.3559262878682117,0.3353004907271684,-0.0206257971410432,0.3353004907271684,-0.02062579714104329,False,-0.0731523378582202,-0.0109637488947834,0.0222386953298739
BHARTIARTL.NS,2026-02-10,2,0.0048515147411652,0.0,-0.013461049409897,True,"WARM: hist_mean=0.004852, hist_collapse=0.00",2026-02-10,0.3302774705960238,0.2906522740114387,-0.039625196584585,0.2906522740114387,-0.039625196584585076,False,0.0372272143774069,-0.0710059171597633,-0.0850968869713988
BHARTIARTL.NS,2026-05-08,3,-0.009974055700751534,0.0,0.0072073387560742,False,"WARM: hist_mean=-0.009974, hist_collapse=0.00",2026-05-08,0.3147637309650362,0.2952861750036533,-0.0194775559613828,0.3147637309650362,0.0,True,-0.0787904008877791,0.1269093356806296,-0.1065516026769989
BHARTIARTL.NS,2026-08-10,4,-0.01234993076590935,0.25,-0.0060637730983081,False,"WARM: hist_mean=-0.012350, hist_collapse=0.25",2026-08-10,0.3198561790909452,0.2470672854285517,-0.0727888936623935,0.3198561790909452,0.0,True,0.0170471841704718,-0.1238957536395409,-0.1115181115181115
BRITANNIA.NS,2025-08-08,0,0.0,0.0,-0.0066745968378977,False,COLD: cv_delta=-0.006675,2025-08-08,0.3915798351032546,0.4141438808359103,0.0225640457326556,0.3915798351032546,0.0,False,-0.0266328471781864,-0.0190047511877969,0.1133297355639503
BRITANNIA.NS,2025-11-10,1,0.0225640457326556,0.0,0.0217514376455024,True,"WARM: hist_mean=0.022564, hist_collapse=0.00",2025-11-10,0.3594243579964404,0.3394652823474933,-0.019959075648947,0.3394652823474933,-0.01995907564894711,False,0.0071716718960107,-0.0947368421052631,0.0276879432624113
BRITANNIA.NS,2026-02-10,2,0.0013024850418543003,0.0,0.0036108598179924,True,"WARM: hist_mean=0.001302, hist_collapse=0.00",2026-02-10,0.2704999587362728,0.2861916482337452,0.0156916894974723,0.2861916482337452,0.015691689497472405,True,-0.0233177881412391,0.0213903743315507,0.0490024823021053
