ticker,version,model_exists,feature_exists,artifact_status
INFY.NS,ce793e4e8839,True,True,ARTIFACTS_COMPLETE
INFY.NS,90f8d2184423,True,True,ARTIFACTS_COMPLETE
INFY.NS,6c549effc744,True,True,ARTIFACTS_COMPLETE
ITC.NS,ec7014f4e9df,True,True,ARTIFACTS_COMPLETE
ITC.NS,1ff50678cced,True,True,ARTIFACTS_COMPLETE
ITC.NS,dd4365c40715,True,True,ARTIFACTS_COMPLETE
JIOFIN.NS,a136644c1d2e,True,True,ARTIFACTS_COMPLETE
JIOFIN.NS,0d2db96d5965,True,True,ARTIFACTS_COMPLETE
JIOFIN.NS,beb622d9d178,True,True,ARTIFACTS_COMPLETE
JSWSTEEL.NS,a62a0a0f6fd9,True,True,ARTIFACTS_COMPLETE
JSWSTEEL.NS,f6cbf70e626f,True,True,ARTIFACTS_COMPLETE
JSWSTEEL.NS,15f1cf629f57,True,True,ARTIFACTS_COMPLETE
KOTAKBANK.NS,ae9b42f39a04,True,True,ARTIFACTS_COMPLETE
KOTAKBANK.NS,8778f8301216,True,True,ARTIFACTS_COMPLETE
KOTAKBANK.NS,572bb63ba388,True,True,ARTIFACTS_COMPLETE
LT.NS,8c272c989297,True,True,ARTIFACTS_COMPLETE
LT.NS,1e25cd6b3edc,True,True,ARTIFACTS_COMPLETE
LT.NS,fffa74c6ced2,True,True,ARTIFACTS_COMPLETE
M&M.NS,0743b33ecef7,True,True,ARTIFACTS_COMPLETE
M&M.NS,558d590356df,True,True,ARTIFACTS_COMPLETE
M&M.NS,a82ca768507c,True,True,ARTIFACTS_COMPLETE
MARUTI.NS,f65d66b576f5,True,True,ARTIFACTS_COMPLETE
MARUTI.NS,7ef4e7eabc45,True,True,ARTIFACTS_COMPLETE
MARUTI.NS,9d76042d0f88,True,True,ARTIFACTS_COMPLETE
MAXHEALTH.NS,df25620a16f2,True,True,ARTIFACTS_COMPLETE
MAXHEALTH.NS,6687bf1b01c5,True,True,ARTIFACTS_COMPLETE
MAXHEALTH.NS,89ccde0bb6bb,True,True,ARTIFACTS_COMPLETE
