ticker,version,model_hash_expected,feature_hash_expected,hash_status,hash_classification
LT.NS,8c272c989297,8c272c989297,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
LT.NS,1e25cd6b3edc,1e25cd6b3edc,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
LT.NS,fffa74c6ced2,fffa74c6ced2,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
M&M.NS,0743b33ecef7,0743b33ecef7,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
M&M.NS,558d590356df,558d590356df,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
M&M.NS,a82ca768507c,a82ca768507c,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
MARUTI.NS,f65d66b576f5,f65d66b576f5,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
MARUTI.NS,7ef4e7eabc45,7ef4e7eabc45,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
MARUTI.NS,9d76042d0f88,9d76042d0f88,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
MAXHEALTH.NS,df25620a16f2,df25620a16f2,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
MAXHEALTH.NS,6687bf1b01c5,6687bf1b01c5,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
MAXHEALTH.NS,89ccde0bb6bb,89ccde0bb6bb,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
NESTLEIND.NS,f04bde3608d3,f04bde3608d3,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
NESTLEIND.NS,7aadd30cf3dd,7aadd30cf3dd,5cde05be545eb1e0f722a6b472015a7d2b012c45a326360f33bd51796410bc73,HASHES_MATCH,PROVENLY_VERIFIED
NESTLEIND.NS,718f85fe9370,718f85fe9370,86e4397fc5ced163a91be9a8b72334d89e16c0dd0165b173380b2ffebb60ee46,HASHES_MATCH,PROVENLY_VERIFIED
