ticker,version,quality_classification
M&M.NS,a82ca768507c,AMBIGUOUS
MARUTI.NS,f65d66b576f5,AMBIGUOUS
MARUTI.NS,7ef4e7eabc45,AMBIGUOUS
MARUTI.NS,9d76042d0f88,AMBIGUOUS
MAXHEALTH.NS,df25620a16f2,AMBIGUOUS
MAXHEALTH.NS,6687bf1b01c5,AMBIGUOUS
MAXHEALTH.NS,89ccde0bb6bb,AMBIGUOUS
NESTLEIND.NS,f04bde3608d3,AMBIGUOUS
NESTLEIND.NS,7aadd30cf3dd,AMBIGUOUS
NESTLEIND.NS,718f85fe9370,AMBIGUOUS
NTPC.NS,1f4a7d9a04b8,AMBIGUOUS
NTPC.NS,a97c5bf097c4,AMBIGUOUS
NTPC.NS,e850d8e39a71,AMBIGUOUS
ONGC.NS,f9edf9feaee0,AMBIGUOUS
ONGC.NS,09b398bfd1df,AMBIGUOUS
ONGC.NS,6c29ed4f4b31,AMBIGUOUS
POWERGRID.NS,138281d5dbb0,AMBIGUOUS
POWERGRID.NS,40b304c072b0,AMBIGUOUS
POWERGRID.NS,baeacbd6a8ee,AMBIGUOUS
RELIANCE.NS,bc1d09c11c6c,AMBIGUOUS
RELIANCE.NS,a4264ce3aa03,AMBIGUOUS
SBILIFE.NS,7d4e4f2083ec,AMBIGUOUS
SBILIFE.NS,56d64f0a6cba,AMBIGUOUS
SBILIFE.NS,710b376617f0,AMBIGUOUS
SBIN.NS,82097585e678,AMBIGUOUS
SBIN.NS,89800c74b7e8,AMBIGUOUS
SBIN.NS,41efcda90bcf,AMBIGUOUS
SHRIRAMFIN.NS,c1fc54975746,AMBIGUOUS
SHRIRAMFIN.NS,6420994a0e89,AMBIGUOUS
SHRIRAMFIN.NS,0e7da5a7998c,AMBIGUOUS
SUNPHARMA.NS,24219657af50,AMBIGUOUS
SUNPHARMA.NS,bfa8f74a2afe,AMBIGUOUS
SUNPHARMA.NS,845257eace4d,AMBIGUOUS
TATACONSUM.NS,a52809467ad6,AMBIGUOUS
TATACONSUM.NS,241b68c2c661,AMBIGUOUS
