ticker,OHLCV_latest,OHLCV_status,PCR_dependency,PCR_latest,PCR_status,news_latest,news_age,news_7d_status,sector_status,fii_dii_status,active_model_version,feature_pipeline_version,feature_contract_status,overall_readiness
RELIANCE.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,9396a75b6365,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
SBILIFE.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,710b376617f0,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
SBIN.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,41efcda90bcf,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
SHRIRAMFIN.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,0e7da5a7998c,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
SUNPHARMA.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,845257eace4d,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
TATACONSUM.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,241b68c2c661,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
TATASTEEL.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,b6ad42ab4e15,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
TCS.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,68df90ea3a2f,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
TECHM.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,44f46805464f,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
TITAN.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,f22de148c0b9,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
TRENT.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,8dd0db56b45b,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
ULTRACEMCO.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,8755f4b0285f,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
WIPRO.NS,2026-08-14,OHLCV_CURRENT,OPTIONAL,2026-08-14,DEGRADED,NONE,999,MISSING,SECTOR_CURRENT,FII_DII_CURRENT,6873fcb78722,v1,READY_FOR_FEATURE_CONSTRUCTION,READY_WITH_DEGRADED_OPTIONAL_DATA
